id,name,rating,review_count,price,categories,address,city,state,zip_code,latitude,longitude,url,hours,fetched_city,fetched_category
bxWy9uAnFy9hRP20QEQn6w,Zambie's,3.7,3,,Japanese,4101 E 42nd St,Odessa,TX,79762,31.894441,-102.340426,https://www.yelp.com/biz/zambies-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Hours not available,"Odessa, TX",fastfood
2q-po7Ltli6dbkCKUUDy8A,La Fusion Nights,3.7,3,,Mexican,947 N Grandview Ave,Odessa,TX,79761,31.863074,-102.347201,https://www.yelp.com/biz/la-fusion-nights-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: Closed | Tuesday: 17:00-22:00 | Wednesday: 17:00-22:00 | Thursday: 17:00-22:00 | Friday: 17:00-22:00 | Saturday: Closed | Sunday: Closed,"Odessa, TX",fastfood
r69itgSCifHBGz9fhQdrjg,A La Mex,3.7,3,,Mexican,4119 N County Rd W,Odessa,TX,79764,31.878067,-102.401804,https://www.yelp.com/biz/a-la-mex-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 06:00-21:00 | Tuesday: 06:00-21:00 | Wednesday: 06:00-21:00 | Thursday: 06:00-21:00 | Friday: 06:00-22:00 | Saturday: 08:00-03:00 | Sunday: 09:00-22:00,"Odessa, TX",fastfood
rGxyslTXCJ27WDXmhGITYA,Agm Tamale & Tortilla Factory,3.7,3,,Mexican,818 S Dixie Blvd,Odessa,TX,79761,31.8403301239014,-102.353569030762,https://www.yelp.com/biz/agm-tamale-and-tortilla-factory-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Hours not available,"Odessa, TX",fastfood
JZkkiY8o_H3cfmnmhTolFA,China Town Buffet,3.2,30,$$,Chinese,3300 Andrews Hwy,Odessa,TX,79762,31.87419,-102.381126,https://www.yelp.com/biz/china-town-buffet-odessa-2?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 11:00-21:30 | Tuesday: 11:00-21:30 | Wednesday: 11:00-21:30 | Thursday: 11:00-21:30 | Friday: 11:00-22:00 | Saturday: 11:00-22:00 | Sunday: 11:00-21:30,"Odessa, TX",fastfood
ysWvYlT62KPx8PChP-PsqQ,DOS Compadres,3.2,53,$$,Mexican,4019 John Ben Shpprd Pkwy,Odessa,TX,79762,31.890285,-102.334316,https://www.yelp.com/biz/dos-compadres-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 11:00-22:00 | Tuesday: 11:00-22:00 | Wednesday: 11:00-22:00 | Thursday: 11:00-22:00 | Friday: 11:00-22:00 | Saturday: 11:00-22:00 | Sunday: Closed,"Odessa, TX",fastfood
EveDa5wHnh5btbqXYqz2mQ,Wienerschnitzel,3.1,23,$,"Hot Dogs, Fast Food, Sandwiches",4404 Tanglewood Ln,Odessa,TX,79761,31.8966095327386,-102.342864844861,https://www.yelp.com/biz/wienerschnitzel-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 10:00-00:00 | Tuesday: 10:00-00:00 | Wednesday: 10:00-00:00 | Thursday: 10:00-00:00 | Friday: 10:00-00:00 | Saturday: 10:00-00:00 | Sunday: 10:00-00:00,"Odessa, TX",fastfood
1Z5XpUx06DfIrQUoFBzZ1A,La Bodega Mexican Restaurant & Bar,3.1,82,$$,"Mexican, Bars",1024 E 7th St,Odessa,TX,79761,31.8557243347168,-102.359428405762,https://www.yelp.com/biz/la-bodega-mexican-restaurant-and-bar-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 11:00-21:00 | Tuesday: 11:00-21:00 | Wednesday: 11:00-21:00 | Thursday: 11:00-21:00 | Friday: 11:00-22:00 | Saturday: 11:00-22:00 | Sunday: 11:00-21:00,"Odessa, TX",fastfood
bHOO3MCw81f9WPGkhT0Xdw,Los Caporales Authentic Mexican Restaurant ,3.1,62,$$,Mexican,4000 N Grandview Ave,Odessa,TX,79762,31.887723,-102.350594,https://www.yelp.com/biz/los-caporales-authentic-mexican-restaurant-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 08:00-20:00 | Tuesday: 08:00-20:00 | Wednesday: 08:00-20:00 | Thursday: 08:00-20:00 | Friday: 08:00-21:00 | Saturday: 08:00-21:00 | Sunday: 08:00-20:00,"Odessa, TX",fastfood
JUJAT4epjJHTbQZvA_4ncQ,Rockin' Q Smokehouse,3.1,56,$$,"Barbeque, Smokehouse, Salad",3812 Penbrook St,Odessa,TX,79762,31.892201,-102.351551,https://www.yelp.com/biz/rockin-q-smokehouse-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 10:30-20:00 | Tuesday: 10:30-20:00 | Wednesday: 10:30-20:00 | Thursday: 10:30-20:00 | Friday: 10:30-20:00 | Saturday: 10:30-20:00 | Sunday: Closed,"Odessa, TX",fastfood
